frame_index,timestamp_s,peak_frequency_hz,peak_power_db,window_name,bins
0,1.070197,52.734375,60.935574,hann,512
1,2.092560,52.734375,60.572594,hann,512
2,3.114928,52.734375,60.709068,hann,512
3,4.137292,1998.046875,59.687675,hann,512
4,5.159644,1998.046875,59.657394,hann,512
5,6.182005,1998.046875,59.771339,hann,512
6,7.204372,1998.046875,59.795715,hann,512
7,8.226737,52.734375,58.758106,hann,512
8,9.249092,52.734375,60.034489,hann,512
9,10.271450,52.734375,59.388004,hann,512
10,11.293815,52.734375,59.891415,hann,512
11,12.316184,52.734375,57.665237,hann,512
12,13.338534,52.734375,58.399387,hann,512
13,14.360898,52.734375,58.773071,hann,512
14,15.383261,52.734375,58.800560,hann,512
15,16.405629,52.734375,58.534576,hann,512
16,17.427983,52.734375,58.935593,hann,512
17,18.450345,52.734375,59.188847,hann,512
18,19.472707,52.734375,58.494148,hann,512
19,20.495078,52.734375,59.584827,hann,512
20,21.517431,1998.046875,59.790871,hann,512
21,22.539791,1998.046875,59.649689,hann,512
22,23.562157,52.734375,59.650990,hann,512
23,24.584512,46.875000,60.412159,hann,512
24,25.606885,46.875000,60.819172,hann,512
