index,x_direct,y_direct,sin_reference,direct_avg_us,x_tfmicro,y_tfmicro,tfmicro_avg_us,delta_direct_minus_tfmicro,delta_avg_us_direct_minus_tfmicro
0,0.314159,0.37277,0.309017,73.905,0.314159,0.37277,61.452,0.0,12.453000000000003
1,0.628319,0.550682,0.587785,73.905,0.628319,0.559154,61.383,-0.008472000000000035,12.521999999999998
2,0.942478,0.847203,0.809017,73.956,0.942478,0.838731,61.404,0.008472000000000035,12.552
3,1.256637,0.965812,0.951057,73.956,1.256637,0.965812,61.466,0.0,12.490000000000002
4,1.570796,1.04206,1.0,73.956,1.570796,1.04206,61.444,0.0,12.512
5,1.884956,0.95734,0.951056,73.956,1.884956,0.95734,61.41,0.0,12.546000000000006
6,2.199115,0.821787,0.809017,73.956,2.199115,0.821787,61.552,0.0,12.404000000000003
7,2.513274,0.533738,0.587785,73.956,2.513274,0.533738,61.407,0.0,12.549000000000007
8,2.827433,0.228745,0.309017,73.956,2.827433,0.237217,61.463,-0.008472000000000007,12.493000000000002
9,3.141593,0.008472,-0.0,73.956,3.141593,0.008472,61.592,0.0,12.364000000000004
10,3.455752,-0.304993,-0.309017,73.968,3.455752,-0.304993,61.526,0.0,12.442
11,3.769912,-0.533738,-0.587786,73.968,3.769912,-0.533738,61.415,0.0,12.553000000000004
12,4.08407,-0.779427,-0.809017,73.968,4.08407,-0.779427,61.487,0.0,12.481000000000002
13,4.39823,-0.965812,-0.951056,73.968,4.39823,-0.965812,61.457,0.0,12.511000000000003
14,4.712389,-1.118309,-1.0,73.968,4.712389,-1.109837,61.387,-0.008472000000000035,12.581000000000003
15,5.026548,-0.982756,-0.951056,73.968,5.026548,-0.982756,61.513,0.0,12.455000000000005
16,5.340708,-0.745539,-0.809017,73.968,5.340708,-0.745539,61.344,0.0,12.624000000000002
17,5.654867,-0.525266,-0.587785,73.968,5.654867,-0.533738,61.562,0.008472000000000035,12.406000000000006
18,5.969026,-0.355825,-0.309017,73.968,5.969026,-0.355825,61.463,0.0,12.505000000000003
19,0.0,0.0,0.0,73.392,0.0,0.0,61.531,0.0,11.860999999999997
20,0.314159,0.37277,0.309017,73.905,,,,,
21,0.628319,0.550682,0.587785,73.905,,,,,
22,0.942478,0.847203,0.809017,73.956,,,,,
